id,pred,conf,abstain,source name
478,AGN,0.6786985579545561,False,2CXO J002540.8-122811
479,AGN,0.6646941469481374,False,2CXO J002542.7+172348
480,AGN,0.5866730461480947,False,2CXO J002544.8+241614
481,Binaries,0.4930384573602013,False,2CXO J002545.5+242547
482,,0.0,True,2CXO J002549.0-122659
483,AGN,0.8916834996581068,False,2CXO J002549.0-122659
484,AGN,0.8493193066648826,False,2CXO J002549.0-122659
485,,0.0,True,2CXO J002549.0-122659
486,AGN,0.7738512851138495,False,2CXO J002549.5+171721
487,Binaries,0.6165221090029155,False,2CXO J002558.0+242619
491,AGN,0.8213801658800278,False,2CXO J002646.0+171231
492,AGN,0.6297939042358615,False,2CXO J002646.0+171231
493,,0.0,True,2CXO J002651.2+640342
494,,0.0,True,2CXO J002651.2+640342
495,,0.0,True,2CXO J002651.2+640342
496,YSO,0.6026561320928429,False,2CXO J002651.2+640342
497,YSO,0.6027254437780694,False,2CXO J002651.2+640342
500,AGN,0.6443379092030984,False,2CXO J002716.5+045607
501,AGN,0.7896539296049022,False,2CXO J002725.2+045429
502,AGN,0.9401076142168114,False,2CXO J002727.1+260703
503,,0.0,True,2CXO J002727.5+171329
505,AGN,0.6043780367783264,False,2CXO J002744.2+045443
508,AGN,0.7667181698983349,False,2CXO J002806.3-753808
509,AGN,0.5182919856416702,False,2CXO J002808.1+174636
510,Binaries,0.5143365430008112,False,2CXO J002808.5-753817
511,Binaries,0.5498022333326549,False,2CXO J002819.6-754214
512,,0.0,True,2CXO J002824.0-753509
513,AGN,0.6206402110719695,False,2CXO J002838.6+175420
515,AGN,0.8442938488568446,False,2CXO J002845.9+175457
518,AGN,0.643530524579607,False,2CXO J002915.8+174128
520,AGN,0.6735215752038725,False,2CXO J003159.1+393221
521,AGN,0.8154095500625094,False,2CXO J003224.1-633408
522,Binaries,0.6027462530252328,False,2CXO J003226.6+394652
523,AGN,0.6546645263497788,False,2CXO J003228.4+394059
524,AGN,0.8332715485503343,False,2CXO J003241.1+394009
525,AGN,0.8288312678798456,False,2CXO J003255.8+394619
526,Binaries,0.4956965280104853,False,2CXO J003320.3+394129
527,YSO,0.5901137782305262,False,2CXO J003413.6-212618
528,,0.0,True,2CXO J003427.2-431857
530,,0.0,True,2CXO J003435.6+022354
532,AGN,0.676953174780792,False,2CXO J003503.4-202451
536,,0.0,True,2CXO J003529.0-434930
537,AGN,0.9047456820673776,False,2CXO J003532.6+011821
538,YSO,0.5279127519812127,False,2CXO J003542.8-201920
539,AGN,0.5508344093650085,False,2CXO J003544.2-435340
541,,0.0,True,2CXO J003604.4-431028
