source_name,n_detections,n_classified,n_abstained,final_classification,agreement_count,agreement_rate,n_unique_classes,all_classes,avg_confidence_final_class,avg_confidence_all,interestingness_score,bmu_x,bmu_y,edge_bmu,truncated_R
2CXO J191724.1-160704,2,2,0,AGN,2,1.0,1,{'AGN': 2},0.7513,0.7513,0.0,10,20,False,False
2CXO J191724.7-160241,2,2,0,AGN,2,1.0,1,{'AGN': 2},0.6766,0.6766,0.0,15,10,False,False
2CXO J191725.1-160315,2,2,0,AGN,2,1.0,1,{'AGN': 2},0.5665,0.5665,0.0,22,25,False,False
2CXO J191737.3-160542,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,11,22,False,False
2CXO J191738.2-160357,2,1,1,AGN,1,1.0,1,{'AGN': 1},0.6742,0.6742,0.0,18,20,False,False
2CXO J191918.9+412737,2,2,0,AGN,2,1.0,1,{'AGN': 2},0.7878,0.7878,0.0,10,17,False,False
2CXO J192350.1+143302,2,1,1,YSO,1,1.0,1,{'YSO': 1},0.6284,0.6284,0.0,39,33,True,True
2CXO J192534.9+500725,2,2,0,AGN,2,1.0,1,{'AGN': 2},0.8045,0.8045,0.0,4,17,False,False
2CXO J192959.0+190337,2,2,0,Binaries,2,1.0,1,{'Binaries': 2},0.7115,0.7115,0.0,38,15,False,False
2CXO J193317.1-393823,2,2,0,AGN,2,1.0,1,{'AGN': 2},0.7073,0.7073,0.0,9,28,False,False
2CXO J193339.6-394034,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,30,19,False,False
2CXO J193517.4+303143,2,1,1,AGN,1,1.0,1,{'AGN': 1},0.6246,0.6246,0.0,33,27,False,False
2CXO J194025.0+604135,2,2,0,AGN,2,1.0,1,{'AGN': 2},0.6776,0.6776,0.0,13,14,False,False
2CXO J195741.2-301220,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,18,30,False,False
2CXO J195945.7+204652,2,1,1,Binaries,1,1.0,1,{'Binaries': 1},0.8048,0.8048,0.0,22,11,False,False
2CXO J200035.6-591816,2,2,0,AGN,2,1.0,1,{'AGN': 2},0.6025,0.6025,0.0,10,25,False,False
2CXO J200941.5-562829,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,19,39,True,True
2CXO J201205.6-565529,2,1,1,AGN,1,1.0,1,{'AGN': 1},0.6279,0.6279,0.0,14,28,False,False
2CXO J201346.6-564659,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,20,17,False,False
2CXO J201358.4-565137,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,21,17,False,False
2CXO J201359.4-564810,2,1,1,AGN,1,1.0,1,{'AGN': 1},0.7509,0.7509,0.0,23,14,False,False
2CXO J201546.4+371413,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,39,22,True,True
2CXO J201642.7-704752,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,31,19,False,False
2CXO J201713.8-705429,2,1,1,YSO,1,1.0,1,{'YSO': 1},0.5934,0.5934,0.0,36,25,False,False
2CXO J203137.6+411313,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,0,17,True,True
2CXO J203206.9-210953,2,1,1,AGN,1,1.0,1,{'AGN': 1},0.8632,0.8632,0.0,12,22,False,False
2CXO J203307.3+412518,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,37,34,False,False
2CXO J203309.1+411343,2,2,0,Stars,2,1.0,1,{'Stars': 2},0.8435,0.8435,0.0,36,0,True,True
2CXO J203309.3+411250,2,2,0,Stars,2,1.0,1,{'Stars': 2},0.8435,0.8435,0.0,36,0,True,True
2CXO J203310.7+411340,2,2,0,Stars,2,1.0,1,{'Stars': 2},0.8435,0.8435,0.0,36,0,True,True
2CXO J203341.8-472134,2,1,1,AGN,1,1.0,1,{'AGN': 1},0.677,0.677,0.0,10,4,False,False
2CXO J203351.8+601051,2,1,1,Binaries,1,1.0,1,{'Binaries': 1},0.6338,0.6338,0.0,28,8,False,False
2CXO J203421.8+411717,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,33,19,False,False
2CXO J203422.0+411714,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,33,19,False,False
2CXO J203427.7+413115,2,1,1,Stars,1,1.0,1,{'Stars': 1},0.7486,0.7486,0.0,27,12,False,False
2CXO J203428.2+413123,2,1,1,Stars,1,1.0,1,{'Stars': 1},0.7486,0.7486,0.0,27,12,False,False
2CXO J203430.2+413127,2,1,1,Stars,1,1.0,1,{'Stars': 1},0.7486,0.7486,0.0,27,12,False,False
2CXO J203457.7+600948,2,1,1,Binaries,1,1.0,1,{'Binaries': 1},0.6894,0.6894,0.0,27,15,False,False
2CXO J203502.3+412816,2,2,0,YSO,2,1.0,1,{'YSO': 2},0.7088,0.7088,0.0,37,39,True,True
2CXO J204301.8-503450,2,1,1,AGN,1,1.0,1,{'AGN': 1},0.7668,0.7668,0.0,25,28,False,False
2CXO J204310.1-503518,2,1,1,AGN,1,1.0,1,{'AGN': 1},0.7668,0.7668,0.0,10,15,False,False
2CXO J204326.1-503854,2,1,1,YSO,1,1.0,1,{'YSO': 1},0.7566,0.7566,0.0,17,34,False,False
2CXO J204358.2-503804,2,2,0,AGN,2,1.0,1,{'AGN': 2},0.5836,0.5836,0.0,1,4,False,False
2CXO J204950.1-321701,2,1,1,AGN,1,1.0,1,{'AGN': 1},0.7141,0.7141,0.0,7,6,False,False
2CXO J205422.2+321655,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,9,2,False,False
2CXO J205554.4+253633,2,1,1,Binaries,1,1.0,1,{'Binaries': 1},0.6971,0.6971,0.0,26,6,False,False
2CXO J205609.5+254450,2,1,1,AGN,1,1.0,1,{'AGN': 1},0.7024,0.7024,0.0,19,11,False,False
2CXO J205615.2+254201,2,2,0,Binaries,2,1.0,1,{'Binaries': 2},0.6205,0.6205,0.0,27,4,False,False
2CXO J205814.9+052159,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,21,26,False,False
2CXO J210639.2-584428,2,2,0,AGN,2,1.0,1,{'AGN': 2},0.6873,0.6873,0.0,10,24,False,False
2CXO J210648.1+421250,2,0,2,,0,0.0,0,{},0.0,0.0,0.0,4,36,False,False
