id,hard_hm,hard_ms,hard_hs,bb_kt,powlaw_gamma,var_prob_b,var_prob_h,var_prob_s,var_ratio_b,var_ratio_h,var_ratio_s,otype,powlaw_gamma_log_norm,bb_kt_log_norm,var_ratio_b_log_norm,var_ratio_h_log_norm,var_ratio_s_log_norm,var_ratio_b_to_log_norm,var_ratio_h_to_log_norm,var_ratio_s_to_log_norm,powlaw_gamma_to_log_norm,bb_kt_to_log_norm
12140,0.10743285446596,-0.21111805121799,-0.10618363522798,0.624275,1.94364,0.054110279426624,0.89440439669927,0.21067867357533,0.0013414901335799,0.3100922542473765,0.0568956978951889,QSO,0.3881065874339601,0.2103231434730432,0.7627022323122713,0.8872490488010136,0.8426568354063665,0.0013414901335799,0.3100922542473765,0.0568956978951889,1.94364,0.624275
12141,0.0087445346658337,-0.067457838850718,-0.057464084946908,0.627151,2.2974,0.13970098614664,0.79701344116531,0.24934564903365,0.0105897546762669,0.2871407363339745,0.0763246371074584,QSO,0.414975224588874,0.2109660322918973,0.8115876503300979,0.8853997436735873,0.8499670630197703,0.0105897546762669,0.2871407363339745,0.0763246371074584,2.2974,0.627151
12142,0.082448469706433,-0.40099937539038,-0.33104309806371,0.349457,2.22305,0.098774489355397,0.27951478590771,0.30338019521353,0.0048292932373306,0.1155254947189419,0.1090546798822691,Radio,0.4093282233098491,0.1291696995565964,0.7930096156707258,0.8635035806449036,0.8588468923035748,0.0048292932373306,0.1155254947189419,0.1090546798822691,2.22305,0.349457
12143,0.1261711430356,-0.34103685196752,-0.22485946283573,0.594854,1.73916,0.10702123810373,0.2217785171558,0.34282196102623,0.0124229781052852,0.0472000059174908,0.0962195443486383,QSO,0.3725760047636841,0.2035709714356446,0.815365330139572,0.8419773875724186,0.8557310356106208,0.0124229781052852,0.0472000059174908,0.0962195443486383,1.73916,0.594854
12144,0.068707058088695,-0.37226733291693,-0.28981886321049,0.598501,2.22846,0.078142711602954,0.2004517556535,0.24577581377195,0.0018390320534652,0.0239991941564759,0.0697196747530514,AGN,0.4097391214526806,0.2044258784065152,0.7701661829013602,0.8257112748971503,0.8477147613325245,0.0018390320534652,0.0239991941564759,0.0697196747530514,2.22846,0.598501
12145,0.099937539038101,-0.37726420986883,-0.28981886321049,0.581767,1.76176,0.093677759360471,0.22339294400403,0.26286420280643,0.0027485634212854,0.0546353130404673,0.0627627054753044,X,0.3742925108686735,0.2004594498580019,0.7796739565906021,0.845495429560072,0.8450989516680092,0.0027485634212854,0.0546353130404673,0.0627627054753044,1.76176,0.581767
12146,-0.064959400374766,-0.57089319175515,-0.61336664584635,0.526078,2.22769,0.48810333926934,0.6426436121913,0.25766537051319,0.0675291919046087,0.1462747611630192,0.1278686055567514,Seyfert1,0.4096806387225549,0.1863857586214661,0.8554231046076808,0.8691790373813605,0.862807223880433,0.0675291919046087,0.1462747611630192,0.1278686055567514,2.22769,0.526078
12147,0.0037476577139288,-0.26733291692692,-0.26483447845097,0.55458,1.8425,0.047208010058166,0.066865691473562,0.073788271060719,0.000771275951663,0.002732882904055,0.0008685045671396,QSO,0.3804248428561446,0.1937654669113315,0.7496062948093579,0.7734608977860087,0.738588279306502,0.000771275951663,0.002732882904055,0.0008685045671396,1.8425,0.55458
12148,0.41848844472205,0.35977514053716,0.68582136164897,1.06569,1.83831,0.097044726074898,0.080944761337919,0.66711181307986,0.011456345077954,0.0114591806202489,0.1223189436873654,Seyfert1,0.3801066056623434,0.2851232242163707,0.8134487201872729,0.807933555632639,0.861703103114853,0.011456345077954,0.0114591806202489,0.1223189436873654,1.83831,1.06569
12149,0.41848844472205,0.35977514053716,0.38600874453467,0.765459,2.00014,0.072372926580474,0.11738451130822,0.083778679725892,0.0027178612702494,0.007314710506744,0.0041602371195787,Seyfert1,0.3923978526964335,0.2388402851253658,0.7794081738716495,0.7971378693187209,0.7775699112779287,0.0027178612702494,0.007314710506744,0.0041602371195787,2.00014,0.765459
12150,-0.088694565896315,-0.16989381636477,-0.25484072454716,0.526392,1.90308,0.074686082012758,0.083241797692978,0.83699837645158,0.0007043645238104,0.0019519091755038,0.4997476309228465,QSO,0.385025990636687,0.1864692172676542,0.7474590854543852,0.765367228410896,0.896726160559596,0.0007043645238104,0.0019519091755038,0.4997476309228465,1.90308,0.526392
12151,-0.0049968769519051,-0.22860712054966,-0.2423485321674,0.502457,2.32305,0.053014336454218,0.072900733943364,0.19819102778258,0.0001197503223289,0.0008118291343282,0.02812021811843,QSO,0.4169233830664394,0.1799602579339041,0.7055350783890623,0.7442696817445349,0.825120541131694,0.0001197503223289,0.0008118291343282,0.02812021811843,2.32305,0.502457
